


##################### A New Start #####################
1	01	0	0
2	01	0	0
3	01	0	0
4	01	0	0
5	01	0	0
6	01	0	0
7	01	0	0
8	01	0	0
9	01	0	0
10	01	0	0
11	01	0	0
12	01	0	0
13	01	0	0
14	01	0	0
15	01	0	0
16	01	0	0
17	01	0	0
18	01	0	0



##################### A New Start #####################
1	01	0	0
2	01	0	0
3	01	0	0
4	01	0	0
5	01	0	0
6	01	0	0
7	01	0	0
8	01	0	0
9	01	0	0
10	01	0	0
11	01	0	0
12	01	0	0
13	01	0	0
14	01	0	0
15	01	0	0
16	01	0	0
17	01	0	0
18	01	0	0



##################### A New Start #####################
1	01	0	0
2	01	0	0
3	01	0	0
4	01	0	0
5	01	0	0
6	01	0	0
7	01	0	0
8	01	0	0
9	01	0	0
10	01	0	0
11	01	0	0
12	01	0	0
13	01	0	0
14	01	0	0
15	01	0	0
16	01	0	0
17	01	0	0
18	01	0	0



##################### A New Start #####################
1	01	0	0
2	01	0	0
3	01	0	0
4	01	0	0
5	01	0	0
6	01	0	0
7	01	0	0
8	01	0	0
9	01	0	0
10	01	0	0
11	01	0	0
12	01	0	0
13	01	0	0
14	01	0	0
15	01	0	0
16	01	0	0
17	01	0	0
18	01	0	0
